category	time	position	Fst	pi	Dxy	T
neu	5	470000	0.061763326997996	0.000263609525651303	1.87305970484572e-05	200
swp	5	470000	0.11572501714	0.000236077207	3.46410275627037e-05	200
neu	6	470000	0.0618132749398798	0.000263343908617234	1.83876437508299e-05	300
swp	6	470000	0.1160941129	0.0002380109198	3.46609197094218e-05	300
neu	7	470000	0.0601008743847695	0.00026134311743487	1.80283196048907e-05	400
swp	7	470000	0.12068707846	0.0002403279906	3.59955674603485e-05	400
neu	8	470000	0.0583377630661323	0.0002601261250501	1.70616825023207e-05	500
swp	8	470000	0.12000519472	0.0002422907502	3.59373061980724e-05	500
neu	0	490000	0.056736338376	0.000266773164	1.82898842389778e-05	20
swp	0	490000	0.057835291844	0.0002700667738	1.78297971772767e-05	20
neu	1	490000	0.05737145032	0.0002657656158	1.85950795730397e-05	40
swp	1	490000	0.07396419718	0.0002588998286	2.26717263715162e-05	40
neu	2	490000	0.056020741866	0.0002664620272	1.799569062551e-05	60
swp	2	490000	0.09524551452	0.0002468064728	2.97091649271378e-05	60
neu	3	490000	0.05732156854	0.0002654481916	1.80964218290023e-05	80
swp	3	490000	0.10670627446	0.000243209321	3.3176351152867e-05	80
neu	4	490000	0.05568518938	0.0002643301906	1.77237151268421e-05	100
swp	4	490000	0.1096669104816	0.0002416319082	3.47562872506912e-05	100
neu	5	490000	0.0571795859258517	0.000265174062925852	1.83701206721886e-05	200
swp	5	490000	0.112577535754	0.0002406188438	3.49740154707074e-05	200
neu	6	490000	0.0586213871709419	0.000264943392184369	1.82153289506678e-05	300
swp	6	490000	0.11508667536	0.0002420925132	3.59434303018098e-05	300
neu	7	490000	0.0574296768122244	0.000263909655911824	1.79861293702699e-05	400
swp	7	490000	0.11783887064	0.0002448575384	3.70357174510449e-05	400
neu	8	490000	0.0574946294549098	0.000261887499599198	1.78014805379671e-05	500
swp	8	490000	0.12017340756	0.0002464541994	3.7869840844476e-05	500
neu	0	510000	0.05998601864	0.0002703096076	1.94240364643901e-05	20
